item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,word_length,clue_blanks,clue_ratio,polysemy_all,polysemy_pos,is_homonym,homonym_pos_count,n_consonant_clusters,max_cluster_length,has_r,r_count,rhotacism_weighted,n_phonemes,silent_letters,spelling_phoneme_ratio,unfamiliar_letters,has_unfamiliar,syntactic_difficulty,cosine_dist_l1_en,word_frequency,levenshtein_dist,morphological_complexity,difficult_phonemes,difficult_phoneme_ratio,difficult_graphemes,final_cluster_size
1,es,span,noun,s___,lapso,El eclipse solar fue visible durante un breve lapso de tiempo.,-3.264098675,4,3,0.75,7,6,1,2,1,2,0,0,0.0,4.0,0.0,1.0,0.0,0,0.2,0.5345327854156494,1.2041199826559248,0.8,1,1.0,0.25,0,1
2,es,radically,adverb,r________,fundamentalmente,Los métodos nuevos son fundamentalmente diferentes a los antiguos.,-1.871782482,9,8,0.8888888888888888,1,1,0,1,1,3,1,1,0.7,7.0,2.0,1.2857142857142858,0.0,0,0.2,0.2899954319000244,0.8450980400142568,0.8125,2,2.0,0.2857142857142857,0,3
3,es,supermarket,noun,s__________,supermercado,Vamos al supermercado y compramos todo lo que necesitamos durante un mes.,2.733108688,11,10,0.9090909090909091,1,1,0,1,2,2,1,2,1.4,10.0,1.0,1.1,1.0,1,0.2,0.004261195659637451,0.3010299956639812,0.4166666666666667,2,2.0,0.2,0,1
4,es,airplane,noun,a_______,avión,El avión despegó tres horas tarde.,0.054736761,8,7,0.875,1,1,0,1,1,3,1,1,0.7,6.0,2.0,1.3333333333333333,0.0,0,0.2,0.014574766159057617,0.7781512503836436,0.75,1,0.0,0.0,0,0
5,es,trying,adjective,t_____,difícil,"Es un tiempo muy difícil, sin ninguna duda.",-4.086776336,6,5,0.8333333333333334,11,2,1,2,2,3,1,1,0.7,5.0,1.0,1.2,0.0,0,0.4,0.21521055698394775,0.47712125471966244,1.0,2,2.0,0.4,0,2
6,es,racing,noun,r_____,carreras,¿Te puedes creer que se ha comprado un coche de carreras?,-0.071781525,6,5,0.8333333333333334,5,1,1,2,1,2,1,1,0.7,5.0,1.0,1.2,0.0,0,0.2,0.4081290364265442,0.3010299956639812,0.875,2,2.0,0.4,0,2
7,es,sleep,verb,s____,dormir,Es importante dormir bien si estás enfermo.,3.682799998,5,4,0.8,6,2,1,2,1,2,0,0,0.0,4.0,1.0,1.25,0.0,0,0.5,0.022056221961975098,1.919078092376074,1.0,1,0.0,0.0,0,1
8,es,military,noun,m_______,ejército,El ejército no parecía nada contento con los cambios políticos que se habían producido.,-0.086130207,8,7,0.875,4,1,1,2,1,2,1,1,0.7,8.0,0.0,1.0,0.0,0,0.2,0.042664408683776855,1.7323937598229686,1.0,2,2.0,0.25,0,2
9,es,capacity,noun,c_______,cabida,La sala da cabida a dos mil personas.,-1.726755593,8,7,0.875,9,9,0,1,1,2,0,0,0.0,8.0,0.0,1.0,0.0,0,0.2,0.5397257208824158,1.5440680443502757,0.625,2,3.0,0.375,0,2
10,es,cane,noun,c___,bastón,Siempre veras a mi abuelo caminando con su bastón,-0.837535429,4,3,0.75,4,3,1,2,0,0,0,0,0.0,3.0,1.0,1.3333333333333333,0.0,0,0.2,0.33539485931396484,0.8450980400142568,0.8333333333333334,1,0.0,0.0,0,0
11,es,knock,verb,k____,tocar,De repente oímos a alguien tocaba en la ventana.,1.310178301,5,4,0.8,11,6,1,2,2,2,0,0,0.0,3.0,2.0,1.6666666666666667,2.0,1,0.5,0.37142419815063477,1.3222192947339193,0.8,1,0.0,0.0,1,2
12,es,hallway,noun,h______,salón,Pablo te está esperando en el pequeño salón de casa.,-2.641865975,7,6,0.8571428571428571,1,1,0,1,1,3,0,0,0.0,5.0,2.0,1.4,1.0,1,0.2,0.3064435124397278,0.7781512503836436,0.7142857142857143,1,0.0,0.0,0,1
13,es,displayed,adjective,d________,expuesto,El vestido de novia expuesto en el escaparate era justo el que quería.,-0.756194133,9,8,0.8888888888888888,2,0,0,1,1,3,0,0,0.0,7.0,2.0,1.2857142857142858,0.0,0,0.4,0.39265185594558716,0.0,0.8888888888888888,3,1.0,0.14285714285714285,0,1
