item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,word_length,clue_blanks,clue_ratio,polysemy_all,polysemy_pos,is_homonym,homonym_pos_count,n_consonant_clusters,max_cluster_length,has_r,r_count,rhotacism_weighted,n_phonemes,silent_letters,spelling_phoneme_ratio,unfamiliar_letters,has_unfamiliar,syntactic_difficulty,cosine_dist_l1_en,cosine_sim_l1_en
1,es,span,noun,s___,lapso,El eclipse solar fue visible durante un breve lapso de tiempo.,-3.264098675,4,3,0.75,7,6,1,2,1,2,0,0,0.0,4.0,0.0,1.0,0.0,0,0.2,0.5345331430435181,0.46546685695648193
2,es,radically,adverb,r________,fundamentalmente,Los métodos nuevos son fundamentalmente diferentes a los antiguos.,-1.871782482,9,8,0.8888888888888888,1,1,0,1,1,3,1,1,0.7,7.0,2.0,1.2857142857142858,0.0,0,0.2,0.2899954319000244,0.7100045680999756
3,es,supermarket,noun,s__________,supermercado,Vamos al supermercado y compramos todo lo que necesitamos durante un mes.,2.733108688,11,10,0.9090909090909091,1,1,0,1,2,2,1,2,1.4,10.0,1.0,1.1,1.0,1,0.2,0.004261195659637451,0.9957388043403625
4,es,airplane,noun,a_______,avión,El avión despegó tres horas tarde.,0.054736761,8,7,0.875,1,1,0,1,1,3,1,1,0.7,6.0,2.0,1.3333333333333333,0.0,0,0.2,0.014574766159057617,0.9854252338409424
5,es,trying,adjective,t_____,difícil,"Es un tiempo muy difícil, sin ninguna duda.",-4.086776336,6,5,0.8333333333333334,11,2,1,2,2,3,1,1,0.7,5.0,1.0,1.2,0.0,0,0.4,0.2152104377746582,0.7847895622253418
6,es,racing,noun,r_____,carreras,¿Te puedes creer que se ha comprado un coche de carreras?,-0.071781525,6,5,0.8333333333333334,5,1,1,2,1,2,1,1,0.7,5.0,1.0,1.2,0.0,0,0.2,0.40812885761260986,0.5918711423873901
7,es,sleep,verb,s____,dormir,Es importante dormir bien si estás enfermo.,3.682799998,5,4,0.8,6,2,1,2,1,2,0,0,0.0,4.0,1.0,1.25,0.0,0,0.5,0.022056221961975098,0.9779437780380249
8,es,military,noun,m_______,ejército,El ejército no parecía nada contento con los cambios políticos que se habían producido.,-0.086130207,8,7,0.875,4,1,1,2,1,2,1,1,0.7,8.0,0.0,1.0,0.0,0,0.2,0.042664527893066406,0.9573354721069336
9,es,capacity,noun,c_______,cabida,La sala da cabida a dos mil personas.,-1.726755593,8,7,0.875,9,9,0,1,1,2,0,0,0.0,8.0,0.0,1.0,0.0,0,0.2,0.5397258996963501,0.4602741003036499
10,es,cane,noun,c___,bastón,Siempre veras a mi abuelo caminando con su bastón,-0.837535429,4,3,0.75,4,3,1,2,0,0,0,0,0.0,3.0,1.0,1.3333333333333333,0.0,0,0.2,0.3353946805000305,0.6646053194999695
