item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,word_length,clue_blanks,clue_ratio,polysemy_all,polysemy_pos,is_homonym,homonym_pos_count,n_consonant_clusters,max_cluster_length,has_r,r_count,rhotacism_weighted,n_phonemes,silent_letters,spelling_phoneme_ratio,unfamiliar_letters,has_unfamiliar,syntactic_difficulty,cosine_dist_l1_en,word_frequency,levenshtein_dist,morphological_complexity,difficult_phonemes,difficult_phoneme_ratio,difficult_graphemes,final_cluster_size
1,cn,span,noun,s___,持续时间段,智能手机使人的注意力集中时间越来越短。,-2.741182607,4,3,0.75,7,6,1,2,1,2,0,0,0.0,4.0,0.0,1.0,3.74,1,0.4,0.5642507672309875,1.2041199826559248,1.0,1,1.0,0.25,0,1
2,cn,radically,adverb,r________,彻底地，激进地，根本地,我们应当彻底改变只顾经济发展的思路，以保护日渐脆弱的环境。,-1.337120226,9,8,0.8888888888888888,1,1,0,1,1,3,1,1,0.9,7.0,2.0,1.2857142857142858,8.45,1,0.3,0.3004114627838135,0.8450980400142568,1.0,2,4.0,0.5714285714285714,0,3
3,cn,supermarket,noun,s__________,超市,许多人选择去超市采购水果蔬菜。,2.212272322,11,10,0.9090909090909091,1,1,0,1,2,2,1,2,1.8,10.0,1.0,1.1,10.46,1,0.4,0.016276836395263672,0.3010299956639812,1.0,2,3.0,0.3,0,1
4,cn,airplane,noun,a_______,飞机,一架飞机在比利牛斯山坠毁。,0.813175169,8,7,0.875,1,1,0,1,1,3,1,1,0.9,6.0,2.0,1.3333333333333333,7.4,1,0.4,0.022848665714263916,0.7781512503836436,1.0,1,2.0,0.3333333333333333,0,0
5,cn,trying,adjective,t_____,难熬的，考验人耐心的,等待实验结果的过程往往很难熬。,-4.992503668,6,5,0.8333333333333334,11,2,1,2,2,3,1,1,0.9,5.0,1.0,1.2,5.69,1,0.5,0.5397080183029175,0.47712125471966244,1.0,2,3.0,0.6,0,2
6,cn,racing,noun,r_____,赛马，赛车，赛艇,我喜欢车，但我不喜欢赛车运动。,-0.322540318,6,5,0.8333333333333334,5,1,1,2,1,2,1,1,0.9,5.0,1.0,1.2,5.6,1,0.4,0.3513692617416382,0.3010299956639812,1.0,2,3.0,0.6,0,2
7,cn,sleep,verb,s____,睡觉,我每晚10点睡觉。,3.331054089,5,4,0.8,6,2,1,2,1,2,0,0,0.0,4.0,1.0,1.25,4.74,1,0.7,0.05988621711730957,1.919078092376074,1.0,1,1.0,0.25,0,1
8,cn,military,noun,m_______,军队，军方，武装部队,据称军方已经做好战争准备。,0.095214066,8,7,0.875,4,1,1,2,1,2,1,1,0.9,8.0,0.0,1.0,7.51,1,0.4,0.20380103588104248,1.7323937598229686,1.0,2,4.0,0.5,0,2
9,cn,capacity,noun,c_______,容量，容纳限度,电梯的容纳限度是十人。,-0.807598507,8,7,0.875,9,9,0,1,1,2,0,0,0.0,8.0,0.0,1.0,7.5,1,0.4,0.1401224136352539,1.5440680443502757,1.0,2,3.0,0.375,0,2
10,cn,cane,noun,c___,(竹或甘蔗的) 茎,这类糖是从甘蔗中提取的。,-1.361237522,4,3,0.75,4,3,1,2,0,0,0,0,0.0,3.0,1.0,1.3333333333333333,3.69,1,0.4,0.5341309309005737,0.8450980400142568,1.0,1,0.0,0.0,0,0
11,cn,knock,verb,k____,敲，敲击，叩击,有人敲门。,2.647021912,5,4,0.8,11,6,1,2,2,2,0,0,0.0,3.0,2.0,1.6666666666666667,4.79,1,0.7,0.3096590042114258,1.3222192947339193,1.0,1,0.0,0.0,1,2
12,cn,hallway,noun,h______,（美）走廊，过道,我在走廊上撞见了经理。,-1.012531669,7,6,0.8571428571428571,1,1,0,1,1,3,0,0,0.0,5.0,2.0,1.4,6.58,1,0.4,0.21429944038391113,0.7781512503836436,1.0,1,1.0,0.2,0,1
13,cn,displayed,adjective,d________,被展示的；（数据或图像等）被显示的,1)我们盯着屏幕上显示的图像。2)这些被展示的物品来自英国。,0.090277485,9,8,0.8888888888888888,2,0,0,1,1,3,0,0,0.0,7.0,2.0,1.2857142857142858,8.48,1,0.5,0.392408549785614,0.0,1.0,3,2.0,0.2857142857142857,0,1
14,cn,challenging,adjective,c__________,有挑战性的,我厌烦了机械重复的工作，希望换一份更有挑战性的工作。,0.174584565,11,10,0.9090909090909091,7,3,1,2,4,2,0,0,0.0,8.0,3.0,1.375,10.29,1,0.5,0.09025919437408447,0.6020599913279624,1.0,2,5.0,0.625,1,2
15,cn,missionary,noun,m_________,传教士,一些传教士为近代中国的教育发展做出了贡献。,-1.60165159,10,9,0.9,3,2,1,2,2,2,1,1,0.9,8.0,2.0,1.25,9.38,1,0.4,0.07537013292312622,0.6020599913279624,1.0,3,3.0,0.375,1,2
16,cn,tall,adjective,t___,高的,她的男友很高，在人群里很显眼。,3.223981903,4,3,0.75,5,4,1,3,1,2,0,0,0.0,3.0,1.0,1.3333333333333333,3.77,1,0.5,0.1486051082611084,1.8692317197309762,1.0,1,1.0,0.3333333333333333,0,2
17,cn,fade,verb,f___,（颜色）褪色，（声音或光线）减弱,窗边的照片渐渐褪色了。,0.66393483,4,3,0.75,6,4,1,2,0,0,0,0,0.0,3.0,1.0,1.3333333333333333,3.74,1,0.7,0.5897949934005737,1.1760912590556813,1.0,1,0.0,0.0,0,0
18,cn,street,noun,s_____,街，街道,她听到街上的叫喊声。,2.013674108,6,5,0.8333333333333334,5,5,0,1,1,3,1,1,0.9,5.0,1.0,1.2,5.73,1,0.4,0.1351037621498108,1.9637878273455553,1.0,1,1.0,0.2,0,1
19,cn,wrist,noun,w____,手腕，腕部,她的腕上有一只小巧的金表。,-0.52469371,5,4,0.8,1,1,0,1,2,2,1,1,0.9,4.0,1.0,1.25,4.79,1,0.4,0.2266196608543396,1.0,1.0,2,2.0,0.5,1,2
20,cn,present,adjective,p______,现在的,现在的房主几年前就买下了这栋房子。,1.485755402,7,6,0.8571428571428571,18,2,1,3,2,2,1,1,0.9,7.0,0.0,1.0,6.65,1,0.5,0.3406990170478821,2.3710678622717363,1.0,2,3.0,0.42857142857142855,0,2
21,cn,softball,noun,s_______,垒球，垒球运动,他们喜欢打垒球。,-2.27696682,8,7,0.875,2,2,0,1,2,3,0,0,0.0,7.0,1.0,1.1428571428571428,7.62,1,0.4,0.17356449365615845,0.0,1.0,1,1.0,0.14285714285714285,0,2
