item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,word_length,clue_blanks,clue_ratio,polysemy_all,polysemy_pos,is_homonym,homonym_pos_count,n_consonant_clusters,max_cluster_length,has_r,r_count,rhotacism_weighted,n_phonemes,silent_letters,spelling_phoneme_ratio,unfamiliar_letters,has_unfamiliar,syntactic_difficulty,cosine_dist_l1_en,word_frequency,levenshtein_dist,morphological_complexity,difficult_phonemes,difficult_phoneme_ratio,difficult_graphemes,final_cluster_size
1,de,span,noun,s___,Zeitraum,Über einen Zeitraum von fünf Monaten wurden Zeugenaussagen gesammelt und Beweise sichergestellt.,-2.76940803,4,3,0.75,7,6,1,2,1,2,0,0,0.0,4.0,0.0,1.0,0.0,0,0.3,0.526067316532135,1.2041199826559248,0.875,1,1.0,0.25,0,1
2,de,radically,adverb,r________,"fundamental, völlig",Nach unserem Gespräch hat sich seine Einstellung fundamental geändert.,-1.567125557,9,8,0.8888888888888888,1,1,0,1,1,3,1,1,0.5,7.0,2.0,1.2857142857142858,0.0,0,0.3,0.31711626052856445,0.8450980400142568,0.7894736842105263,2,1.0,0.14285714285714285,0,3
3,de,supermarket,noun,s__________,Supermarkt,Die Frau geht in dem Supermarkt einkaufen. ,1.578899839,11,10,0.9090909090909091,1,1,0,1,2,2,1,2,1.0,10.0,1.0,1.1,0.0,0,0.3,0.0169488787651062,0.3010299956639812,0.09090909090909091,2,1.0,0.1,0,1
4,de,airplane,noun,a_______,Flugzeug (nicht: aircraft),Der Pilot flog das Flugzeug.,0.127510273,8,7,0.875,1,1,0,1,1,3,1,1,0.5,6.0,2.0,1.3333333333333333,0.0,0,0.3,0.09114044904708862,0.7781512503836436,0.8461538461538461,1,0.0,0.0,0,0
5,de,trying,adjective,t_____,"schwierig, anstrengend","Seine Kinder sind ziemlich anstrengend. (NICHT taxing, NICHT tiring)",-3.642623474,6,5,0.8333333333333334,11,2,1,2,2,3,1,1,0.5,5.0,1.0,1.2,0.0,0,0.3,0.3553984761238098,0.47712125471966244,0.8636363636363636,2,0.0,0.0,0,2
6,de,racing,noun,r_____,Rennsport,Als aktiver Fahrer konnte er schon viel Erfahrung im Rennsport sammeln.,0.197889082,6,5,0.8333333333333334,5,1,1,2,1,2,1,1,0.5,5.0,1.0,1.2,0.0,0,0.3,0.539631187915802,0.3010299956639812,0.8888888888888888,2,0.0,0.0,0,2
7,de,sleep,verb,s____,schlafen,"Ich schlafe schon seit Jahren hervorragend dank der Matratze, die wir damals gekauft haben.",2.704855899,5,4,0.8,6,2,1,2,1,2,0,0,0.0,4.0,1.0,1.25,0.0,0,0.6,0.017061710357666016,1.919078092376074,0.625,1,0.0,0.0,0,1
8,de,military,noun,m_______,Militär,Er ist ein wichtiger Offizier beim Militär.,0.544554828,8,7,0.875,4,1,1,2,1,2,1,1,0.5,8.0,0.0,1.0,0.0,0,0.3,0.007755935192108154,1.7323937598229686,0.25,2,0.0,0.0,0,2
9,de,capacity,noun,c_______,"Fassungsvermögen, Rauminhalt, Volumen",Dieser Tank hat ein Fassungsvermögen von dreißig Litern.,-2.044385253,8,7,0.875,9,9,0,1,1,2,0,0,0.0,8.0,0.0,1.0,0.0,0,0.3,0.39350634813308716,1.5440680443502757,0.8918918918918919,2,1.0,0.125,0,2
10,de,cane,noun,c___,Rohr-,Ich verwende hauptsächlich Rohrzucker.,-1.344922248,4,3,0.75,4,3,1,2,0,0,0,0,0.0,3.0,1.0,1.3333333333333333,0.0,0,0.3,0.6631571054458618,0.8450980400142568,1.0,1,0.0,0.0,0,0
11,de,knock,verb,k____,"gegen etw stoßen, sich anstoßen",Rosa hat sich ihr Knie an der Tür angestoßen.,-0.47525357,5,4,0.8,11,6,1,2,2,2,0,0,0.0,3.0,2.0,1.6666666666666667,0.0,0,0.6,0.42266565561294556,1.3222192947339193,0.9032258064516129,1,0.0,0.0,0,2
12,de,hallway,noun,h______,"Korridor, Flur, Gang","Die Schüler müssen den langen Flur entlang laufen, um ins Chemielabor zu gelangen. ",-0.446275153,7,6,0.8571428571428571,1,1,0,1,1,3,0,0,0.0,5.0,2.0,1.4,0.0,0,0.3,0.7416896820068359,0.7781512503836436,0.9,1,1.0,0.2,0,1
13,de,displayed,adjective,d________,"ausgelegt, ausgehängt",Die Nachfrage nach den ausgelegten Uhren war groß.,-1.755048423,9,8,0.8888888888888888,2,0,0,1,1,3,0,0,0.0,7.0,2.0,1.2857142857142858,0.0,0,0.3,0.5410810708999634,0.0,0.8095238095238095,3,0.0,0.0,0,1
14,de,challenging,adjective,c__________,"herausfordernd, fordernd",Die herausfordernde Aufgabe konnte gut bewältigt werden.,-0.388801358,11,10,0.9090909090909091,7,3,1,2,4,2,0,0,0.0,8.0,3.0,1.375,0.0,0,0.3,0.30106908082962036,0.6020599913279624,0.8333333333333334,2,1.0,0.125,0,2
15,de,missionary,noun,m_________,Missionar,Sie arbeitete als Missionarin für viele Jahre in Afrika.,-0.859479017,10,9,0.9,3,2,1,2,2,2,1,1,0.5,8.0,2.0,1.25,0.0,0,0.3,0.007711052894592285,0.6020599913279624,0.1,3,0.0,0.0,0,2
16,de,tall,adjective,t___,groß,Er war ein großer und dünner Mann.,1.25600929,4,3,0.75,5,4,1,3,1,2,0,0,0.0,3.0,1.0,1.3333333333333333,0.0,0,0.3,0.2211822271347046,1.8692317197309762,1.0,1,0.0,0.0,0,2
17,de,fade,verb,f___,"ausbleichen, verblassen",Die Operationsnarbe verblasst.,-0.185057379,4,3,0.75,6,4,1,2,0,0,0,0,0.0,3.0,1.0,1.3333333333333333,0.0,0,0.6,0.2601826786994934,1.1760912590556813,0.9130434782608695,1,0.0,0.0,0,0
18,de,street,noun,s_____,Straße,In dieser Straße wurde Beethoven geboren.,3.406414525,6,5,0.8333333333333334,5,5,0,1,1,3,1,1,0.5,5.0,1.0,1.2,0.0,0,0.3,0.0683860182762146,1.9637878273455553,0.5,1,0.0,0.0,0,1
19,de,wrist,noun,w____,Handgelenk,Ich habe mir das Handgelenk verstaucht.,0.359557952,5,4,0.8,1,1,0,1,2,2,1,1,0.5,4.0,1.0,1.25,0.0,0,0.3,0.14630115032196045,1.0,1.0,2,0.0,0.0,1,2
20,de,present,adjective,p______,derzeitig,In seinem derzeitigen Zustand sollte er sich nicht zu sehr aufregen.,-0.077003042,7,6,0.8571428571428571,18,2,1,3,2,2,1,1,0.5,7.0,0.0,1.0,0.0,0,0.3,0.2294701337814331,2.3710678622717363,0.7777777777777778,2,0.0,0.0,0,2
21,de,softball,noun,s_______,Softball,Softball ist sehr ähnlich wie Baseball und bei vielen Amerikanern sehr beliebt.,2.154828071,8,7,0.875,2,2,0,1,2,3,0,0,0.0,7.0,1.0,1.1428571428571428,0.0,0,0.3,0.014988720417022705,0.0,0.0,1,0.0,0.0,0,2
22,de,sit,verb,s__,sitzen,"Den Kindern war so langweilig, dass sie kaum mehr sitzen wollten.",2.631080844,3,2,0.6666666666666666,10,10,0,1,0,0,0,0,0.0,3.0,0.0,1.0,0.0,0,0.6,0.12784862518310547,2.2695129442179165,0.5,1,0.0,0.0,0,1
23,de,stance,noun,s_____,Einstellung [nicht: stand],Was ist seine Einstellung gegenüber dem Grundeinkommen?,-2.650761357,6,5,0.8333333333333334,2,2,0,1,2,2,0,0,0.0,5.0,1.0,1.2,0.0,0,0.3,0.24301809072494507,0.3010299956639812,0.8461538461538461,1,1.0,0.2,0,0
24,de,religious,adjective,r________,gläubig,Die ganze Familie ist sehr gläubig und geht regelmäßig in die Kirche.,1.150954842,9,8,0.8888888888888888,5,4,1,3,0,0,1,1,0.5,7.0,2.0,1.2857142857142858,0.0,0,0.3,0.5459593534469604,1.146128035678238,0.8888888888888888,3,0.0,0.0,0,1
25,de,shock,verb,s____,entsetzen [nicht: scare],"Heutzutage ist es als Künstler gar nicht mehr so leicht, das Publikum zu entsetzen.",-1.355967472,5,4,0.8,17,7,1,2,2,2,0,0,0.0,3.0,2.0,1.6666666666666667,0.0,0,0.6,0.4713924527168274,1.3222192947339193,0.875,1,0.0,0.0,0,2
26,de,attend,verb,a_____,"etw besuchen, auf etw sein",Ich besuche die Konferenz im Mai.,-0.187940097,6,5,0.8333333333333334,5,5,0,1,2,2,0,0,0.0,5.0,1.0,1.2,0.0,0,0.6,0.5383391380310059,1.954242509439325,0.8846153846153846,1,0.0,0.0,0,2
27,de,panel,noun,p____,Team (nicht: team),Ein Expertenteam beurteilt die Eignung der Kandidaten.,-3.620795374,5,4,0.8,10,8,1,2,0,0,0,0,0.0,5.0,0.0,1.0,0.0,0,0.3,0.714607834815979,0.47712125471966244,0.8333333333333334,1,1.0,0.2,0,1
28,de,slice,noun,s____,Scheibe,Kannst du mir auch bitte noch eine Scheibe Brot abschneiden?,0.781253939,5,4,0.8,10,6,1,2,1,2,0,0,0.0,4.0,1.0,1.25,0.0,0,0.3,0.2446376085281372,1.1139433523068367,0.5714285714285714,1,0.0,0.0,0,0
29,de,sperm,noun,s____,"Samen (nicht: semen, seeds)","Wenn Samen auf eine gesunde Eizelle trifft, kommt es zur Befruchtung und ein Baby beginnt zu entstehen.",-0.665605007,5,4,0.8,1,1,0,1,2,2,1,1,0.5,4.0,1.0,1.25,0.0,0,0.3,0.5783735513687134,0.0,0.8888888888888888,1,1.0,0.25,0,2
30,de,vietnamese,adjective,v_________,vietnamesisch,Sie liebt die vietnamesische Küche.,-0.455851144,10,9,0.9,3,1,1,2,1,2,0,0,0.0,9.0,1.0,1.1111111111111112,0.0,0,0.3,0.004037439823150635,0.0,0.3076923076923077,1,0.0,0.0,0,0
31,de,murdering,adjective,m________,Mord,Er wurde des Mordes an seiner Frau und seinem Kinde angeklagt.,-2.452214195,9,8,0.8888888888888888,2,0,0,1,2,2,1,2,1.0,6.0,3.0,1.5,0.0,0,0.3,0.3760855793952942,0.0,0.6666666666666666,2,2.0,0.3333333333333333,0,2
32,de,smile,noun,s____,Lächeln,Sie begrüßten uns mit einem breiten Lächeln in ihren Gesichtern.,3.23037624,5,4,0.8,3,1,1,2,1,2,0,0,0.0,4.0,1.0,1.25,0.0,0,0.3,0.008480250835418701,2.037426497940624,0.8571428571428571,1,0.0,0.0,0,0
33,de,blinding,adjective,b_______,"blendend, grell",Ich muss die Augen schließen. Das Licht ist grell.,-1.829146773,8,7,0.875,4,1,1,2,3,2,0,0,0.0,7.0,1.0,1.1428571428571428,0.0,0,0.3,0.8000509738922119,0.0,0.6,2,0.0,0.0,0,2
34,de,remarkable,adjective,r_________,bemerkenswert,"Das Stück, das gerade im Theater läuft, ist wirklich sehr bemerkenswert.",-0.540535459,10,9,0.9,2,2,0,1,2,2,1,2,1.0,10.0,0.0,1.0,0.0,0,0.3,0.012687444686889648,1.2041199826559248,0.6153846153846154,3,0.0,0.0,0,0
35,de,chart,noun,c____,"Diagramm, Grafik, grafische Darstellung (nicht: graph)",Die aktuellen Geburtsraten sind in der Grafik auf Seite 19 dargestellt.,-1.580679661,5,4,0.8,5,2,1,2,2,2,1,1,0.5,4.0,1.0,1.25,0.0,0,0.3,0.3103576898574829,1.2041199826559248,0.9074074074074074,1,0.0,0.0,0,2
36,de,jumper,noun,j_____,Pullover (nicht: pullover),Er zieht einen warmen Pullover über.,-0.684106069,6,5,0.8333333333333334,8,8,0,1,1,2,1,1,0.5,5.0,1.0,1.2,0.0,0,0.3,0.7018401622772217,0.0,0.8461538461538461,2,1.0,0.2,0,1
37,de,remind,verb,r_____,erinnern,Das Gebäude erinnert an frühere Zeiten.,0.367602909,6,5,0.8333333333333334,2,2,0,1,1,2,1,1,0.5,6.0,0.0,1.0,0.0,0,0.6,0.14806389808654785,1.5563025007672873,0.75,2,0.0,0.0,0,2
38,de,nonsense,noun,n_______,Unfug,Glaubst du den Unfug über Ufos?,0.382553342,8,7,0.875,3,2,1,2,2,2,0,0,0.0,7.0,1.0,1.1428571428571428,0.0,0,0.3,0.5651074647903442,0.8450980400142568,0.875,2,0.0,0.0,0,0
39,de,stunning,adjective,s_______,atemberaubend,Sie kam in einem atemberaubenden Kleid zur Preisverleihung.,-1.399462542,8,7,0.875,7,4,1,2,3,2,0,0,0.0,6.0,2.0,1.3333333333333333,0.0,0,0.3,0.21200346946716309,0.3010299956639812,0.8461538461538461,2,0.0,0.0,0,2
40,de,tea,noun,t__,Tee,Wie wäre es mit einer Tasse Tee?,2.037427671,3,2,0.6666666666666666,5,5,0,1,0,0,0,0,0.0,2.0,1.0,1.5,0.0,0,0.3,0.21719145774841309,0.8450980400142568,0.3333333333333333,1,0.0,0.0,0,0
41,de,housekeeping,noun,h___________,Haushalt,Mein Mann und ich teilen uns den Haushalt.,-2.656339942,12,11,0.9166666666666666,2,1,1,2,1,2,0,0,0.0,8.0,4.0,1.5,0.0,0,0.3,0.6334553956985474,0.47712125471966244,0.75,2,0.0,0.0,0,2
42,de,mayor,noun,m____,Bürgermeister,Die Stadt hat eine neue Bürgermeisterin.,-0.937601484,5,4,0.8,1,1,0,1,0,0,1,1,0.5,3.0,2.0,1.6666666666666667,0.0,0,0.3,0.015868782997131348,1.0,0.8461538461538461,2,1.0,0.3333333333333333,0,1
